"Country","timePeriod","productionStability","cropStability","cropAsynchrony","production","areaHarvested","diversity","richness","soilQuality","soilDiversity","fertilizer","irrigation","instabilityTemp","instabilityPrec"
"DE",1998,13.9647558089192,11.6645205054314,0.3023026234,158084117400000,6954690,3.91501051205261,7,6.73665260675145,8.94044908151958,0.150491037434575,2.948,-26.6864078930969,-6.81269497044938
"DE",2008,14.5240223477641,9.16304571072314,0.5891218317,197938603090000,8067899,5.76913017557472,11.8,6.73665260675145,8.94044908151958,0.137352081484369,3.96,-12.7039442052224,-16.5227986956119
"DK",2008,22.4009983743704,9.88115498531063,0.7716086205,34459976100000,1543460,3.33582474033065,5.6,7.09386927155892,4.99114099533632,0.0829695926633384,14.7022222222222,-9.6756995795569,-12.4439791463424
"EE",1988,4.46894197044888,3.56492547181946,0.3636566951,2813086100000,418260,4.23246423585734,9,6.18477134174259,1.99674087715111,0.0258936206601676,0.171666666666667,-6.84945147694671,-10.4372234368533
"EE",1998,6.23156088717952,5.00534054935512,0.3543138061,2555817200000,354440,5.25534867145988,9.8,6.18477134174259,1.99674087715111,0.032076477913706,0.157,-11.4031909839004,-6.57781553474839
"EE",2008,6.06519702353206,4.65928633122108,0.4075381684,4347573070000,426812,5.32312988401265,10.9,6.18477134174259,1.99674087715111,0.051394155974184,0.112222222222222,-8.08882284954527,-6.53905462669364
"ES",1978,5.76930604616225,4.75906624771799,0.3195498012,38417372100000,5274940,2.40289996328199,5,4.61030148652321,6.80877176433698,0.0448920742483864,10.106,-38.4572712926789,-8.16566791866216
"ES",1988,5.96693438759062,5.000091909064,0.2978119245,42393323800000,5681310,2.46877127031013,6,4.61030148652321,6.80877176433698,0.0516567567979128,11.501,-24.2461972941633,-5.59933458469399
"FI",1998,11.0560241486118,7.43499895225155,0.5477653173,3384546200000,296500,2.52654343082823,5,6.60483718578623,3.45554410712864,0.0782884968612213,3.938,-6.94891928556216,-9.48448858964592
"FI",2008,4.05002632018732,4.84709095691998,0.3970263187,11768289300000,946600,3.85053702647596,6.6,6.60483718578623,3.45554410712864,0.0707520327914038,3.40666666666667,-4.64172357485563,-7.40065865613885
"FR",1978,14.1764223830496,8.02783510828827,0.6793261115,68522455900000,3982450,3.29141526060997,6,7.08841543487245,7.80022454548573,0.119648161439206,4.68,-21.6218748316781,-10.7299717689764
"FR",1988,5.74846714530766,11.2741270906016,0.3968673371,172964953300000,8517430,4.41763396006659,8.7,7.08841543487245,7.80022454548573,0.127477807834468,7.447,-20.1049301259524,-8.01263066401579
"FR",1998,14.6051359054964,11.8946785735525,0.336724102,204619580970000,9345413,4.4270556219922,9,7.08841543487245,7.80022454548573,0.120653020401076,9.028,-38.4394973749562,-9.79039994093034
"GB",1978,18.9622608188243,18.5445968271265,0.0435594356,23064597600000,1457520,1.17103418277968,2.8,7.34240259708404,9.90754929269706,0.209528168309043,0.803,-20.0488928300044,-23.2282049037339
"GB",1988,10.0037473084283,9.44976618968596,0.1076880685,18181041800000,1020200,1.45427815856372,3,7.34240259708404,9.90754929269706,0.216169181285641,0.883,-19.2722891922863,-10.2205647769454
"GB",1998,21.9567890399585,16.4760025385421,0.3164198508,20459149200000,1092720,1.13577045926186,1.8,7.34240259708404,9.90754929269706,0.188588659411745,1.3,-40.8131478504855,-7.93811174717364
"GR",2008,15.2953563069662,7.20750797277191,0.7779498524,15461687820000,1078246,6.67164053177319,15,4.84191080272662,4.2585847033193,0.0511656432997896,21.0588888888889,-48.0531177540734,-8.07366851530127
"HU",1998,4.64349113502422,4.18662019742428,0.3739195176,22919629900000,2008760,4.0007485926998,8.8,6.09989349581902,13.407361224339,0.0621487807897017,3.434,-16.3193109082458,-6.02553034942265
"HU",2008,6.8959789861581,5.45690281733386,0.4223748191,50122826170000,3191966,4.78205613120144,10.2,6.09989349581902,13.407361224339,0.0712867155770994,3.40666666666667,-23.4102830098649,-4.34043191078493
"IT",1978,11.3894582892838,7.33849668775251,0.5848471074,12015539500000,813400,4.28558233547261,5,5.77560990240654,7.27655298903304,0.083346894447834,20.161,-28.3939715264349,-10.2006919450247
"IT",1988,3.86716561074356,7.31162680412959,0.7314604788,1.6940469e+13,1153250,5.13540761709714,6.4,5.77560990240654,7.27655298903304,0.0770711486545328,23.194,-33.0725179503031,-9.35029418586293
"IT",1998,12.2947922704352,9.01142021447949,0.4627899943,22860851400000,2090210,3.98735371227955,9,5.77560990240654,7.27655298903304,0.0774977221489443,25.958,-35.9796294922424,-9.27636425650898
"LT",1988,6.16148333845979,4.48870764342627,0.469271899,1.0674998e+13,1287610,5.35059440628928,10,5.50511832278433,1.88387675788061,0.021785464709993,0.356666666666667,-8.75733898348095,-8.87223380199073
"LT",1998,7.61420920881249,5.68938800942143,0.4414984338,10861323380000,1204950,6.78342198238868,12.8,5.50511832278433,1.88387675788061,0.0241844213074603,0.211,-13.4692578013207,-9.83847660364193
"LT",2008,9.25169981668617,5.37008298700997,0.6630861006,18681708150000,1499668,6.16920777484322,14,5.50511832278433,1.88387675788061,0.054894047063773,0.148888888888889,-11.3826204305828,-7.8721916184742
"LV",1988,6.55460235958618,4.05349998862725,0.6183654888,4915961400000,699850,5.3132263875546,10.8,5.5466698287126,1.62249638661585,0.0224826596508012,0.025,-7.32626273238204,-10.3872056824996
"LV",1998,9.96680701783504,5.84236322469506,0.6564260166,4712391400000,560800,6.53455799034129,11.9,5.5466698287126,1.62249638661585,0.0346788362806617,0.05,-13.2771690108999,-9.47786882632289
"LV",2008,3.82044294509725,5.26059856903964,0.5020110857,8146341300000,668900,4.46826222162068,11.2,5.5466698287126,1.62249638661585,0.0546674080481074,0.0411111111111111,-10.0467466249497,-8.00139390195204
"PL",1998,12.749395522761,9.33045722932449,0.4644033694,66593911600000,5247510,3.96449984012535,5.9,6.54645571537326,9.83392101237782,0.069550025431589,0.622,-16.4248973177041,-7.83885490647124
"PL",2008,12.0568552715481,7.4851181790242,0.7029654476,62991845050000,4001385,4.53324934190868,6.6,6.54645571537326,9.83392101237782,0.0951581250759799,0.864444444444444,-12.9596317615407,-6.06400884856358
"PT",1988,6.19314013437339,6.15605182733769,0.0119413585,321223500000,43530,1.07154514773293,2,4.95352972633373,9.59553624970826,0.0455495798319328,21.555,-26.5431666938312,-4.16996653991997
"PT",1998,2.49862913657541,3.42129443251327,0.7766847581,4472946370000,483002,7.55885567883831,11.1,4.95352972633373,9.59553624970826,0.0513900889096413,18.172,-64.2785714210493,-4.13520550759882
"PT",2008,11.4761745092522,6.00619628032787,0.7260919765,4150409040000,328180,8.04739763397564,11,4.95352972633373,9.59553624970826,0.0580741724204737,14.9466666666667,-41.699312715978,-4.44737814253105
"RO",1998,2.74957338257689,2.50369259734011,0.2962733292,53681385210000,6310544,4.25299409653622,10.6,6.68224776655362,11.0705915783408,0.0262680698556069,21.741,-16.3474182493951,-3.85595552213086
"RO",2008,6.3758287674961,5.51015122487511,0.2531149845,75822535820000,6512754,4.31906102823417,9,6.68224776655362,11.0705915783408,0.0344505998244416,22.8333333333333,-26.9582166566696,-4.5729168904625
"SE",2008,14.9052502617134,7.86473100728947,0.7215871975,17392378600000,911356,3.29372365420817,5,7.0698622205123,3.29315636795299,0.0664340670127998,5.17777777777778,-6.87785015968811,-8.86594256839003
"SI",2008,10.3487621438696,7.91038237543668,0.4157238703,1836729190000,87762,3.43899037773661,5,5.55911593629979,5.09054523314943,0.114569764393478,1.11,-22.1300417556016,-6.61581256914914
"SK",1998,6.87361729313053,4.56996223051134,0.5579671703,9944197500000,840660,4.36166138288711,8,6.1749019239935,9.52155850445015,0.0548848735507492,8.44,-16.3570450780287,-8.1523112731251
"SK",2008,6.34575653955865,4.2506201462818,0.4447820081,15167623160000,981979,6.27135901458085,12.8,6.1749019239935,9.52155850445015,0.076771949693675,5.02,-17.4793182934977,-5.37171145213614
